ID,Research ID,Concept Name,Company,Confinement Family,MFE Topology,IFE Driver,MIF Method,Non-Standard Mechanism,Tokamak Shape,Stellarator Type,Laser Approach,Fuel,Primary Heating,Energy Capture,Magnet Type,Blanket Config,Operation Mode,Repetition Rate,Driver Technology,Overall Confidence
15-sheared-flow-stabilized-z-pinch,15,Sheared-Flow Stabilized Z-Pinch (D-T),Zap Energy,MFE,Open/Linear,N/A,N/A,N/A,N/A,N/A,N/A,D-T,Ohmic (self-pinch),Thermal (steam),None,Liquid metal,Pulsed,~10 Hz,Pulsed power (sheared-flow Z-pinch),high
16-muon-catalyzed-fusion,16,Muon-Catalyzed Fusion (D-T),Acceleron Fusion,Non-Standard,N/A,N/A,N/A,Muon-catalyzed,N/A,N/A,N/A,D-T,Muon catalysis,Thermal (unspecified),N/A,TBD,Steady-state,N/A,Muon source (accelerator),medium
17-laser-icf-direct-drive-fast-ignition,17,Laser ICF - Direct Drive Fast Ignition (D-T),Focused Energy,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Fast ignition,D-T,Laser (fast ignition),Thermal (steam),N/A,Liquid metal,Pulsed,~10 Hz,"DPSSL (Nd:glass, 527 nm) + petawatt CPA ignition laser",medium
18-p-b11-frc,18,p-B11 FRC (p-B11),TAE Technologies,MFE,Compact Toroid,N/A,N/A,N/A,N/A,N/A,N/A,p-B11,NBI,Thermal (steam),Resistive,N/A,Steady-state,N/A,"Neutral beam injection (high-energy, tangential)",high
19-orbital-levitated-dipole,19,Orbital Levitated Dipole (D-He3),Zephyr Fusion,MFE,Dipole,N/A,N/A,N/A,N/A,N/A,N/A,D-He3,RF (ECRH),Direct (charged particle),HTS (levitated dipole),N/A,Steady-state,N/A,"Orbital HTS dipole coil (meter-scale, Falcon 9 deployable)",low
20-type-one-stellarator,20,Type One Stellarator (D-T),Type One Energy,MFE,Stellarator,N/A,N/A,N/A,N/A,Modular,N/A,D-T,RF (ECRH),Thermal (steam),HTS (3D stellarator),Solid breeder,Steady-state,N/A,"Modular HTS stellarator coils (REBCO, 9 T)",high
21-renaissance-stellarator,21,Renaissance Stellarator (D-T),Renaissance Fusion,MFE,Stellarator,N/A,N/A,N/A,N/A,Modular,N/A,D-T,NBI,Thermal (sCO2),HTS (3D stellarator),Other/hybrid,Steady-state,N/A,"Laser-patterned HTS film on cylinders (REBCO, 10-15 T)",high
22-spherical-tokamak-hts,22,Spherical Tokamak - HTS (D-T),Tokamak Energy,MFE,Tokamak,N/A,N/A,N/A,Spherical,N/A,N/A,D-T,RF (ECRH),Thermal (unspecified),HTS (wound),Liquid metal,Quasi-steady,N/A,"HTS magnets (REBCO, 5.25 T on-axis)",medium
23-projectile-icf,23,Projectile ICF (D-T),First Light Fusion,IFE,N/A,Projectile,N/A,N/A,N/A,N/A,N/A,D-T,Projectile impact,Thermal (steam),N/A,Liquid metal,Pulsed,Sub-Hz,Electromagnetic gun,medium-high
24-laser-icf-nanostructured-target,24,Laser ICF - Nanostructured Target (p-B11),Marvel Fusion,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Ultrashort pulse,p-B11,Laser (ultrashort pulse),Hybrid (thermal + direct),N/A,N/A,Pulsed,~10 Hz,"Femtosecond DPSSL + nanostructured Si targets (nanowire arrays, semiconductor lithography)",medium-high
25-dense-plasma-focus,25,Dense Plasma Focus (p-B11),LPPFusion,Non-Standard,N/A,N/A,N/A,Plasma focus,N/A,N/A,N/A,p-B11,Electromagnetic pinch (DPF),Direct (charged particle),None,N/A,Pulsed,High (>10 Hz),"Pulsed coaxial electrodes (capacitor bank, 2.7 MA)",medium
26-heavy-ion-beam-icf,26,Heavy Ion Beam ICF (D-T),Intensity Energy,IFE,N/A,Heavy ion beam,N/A,N/A,N/A,N/A,N/A,D-T,Heavy ion beam,Thermal (steam),N/A,Liquid metal,Pulsed,~10 Hz,Linear induction accelerator,medium
27-laser-icf-hybrid-direct-drive,27,Laser ICF - Hybrid Direct Drive (D-T),Xcimer Energy,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Hybrid drive,D-T,Laser (direct drive),Thermal (unspecified),N/A,Molten salt,Pulsed,Sub-Hz,"Excimer laser (KrF, 248 nm, 10+ MJ, ASPEN architecture)",medium-high
28-polywell,28,Polywell (D-T),EMC2,Non-Standard,N/A,N/A,N/A,Electrostatic,N/A,N/A,N/A,D-T,Electrostatic acceleration,Thermal (unspecified),Resistive,TBD,Steady-state,N/A,Polyhedral magnetic cusp coils + electron beam injection,medium
29-hts-tokamak-full-hts,29,HTS Tokamak - Full HTS (D-T),Energy Singularity,MFE,Tokamak,N/A,N/A,N/A,Compact,N/A,N/A,D-T,RF (ICRH),Thermal (unspecified),HTS (wound),TBD,Steady-state,N/A,"HTS magnets (REBCO, 25 T)",medium
30-negative-triangularity-tokamak,30,Negative Triangularity Tokamak (D-T),Firefly Fusion,MFE,Tokamak,N/A,N/A,N/A,Negative triangularity,N/A,N/A,D-T,RF (ECRH),Thermal (unspecified),HTS (wound),TBD,Quasi-steady,N/A,HTS magnets + NT plasma shaping,medium
31-laser-icf-indirect-drive,31,Laser ICF - Indirect Drive (D-T),Inertia Enterprises,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Indirect drive,D-T,Laser (indirect drive),Thermal (steam),N/A,Liquid metal,Pulsed,~10 Hz,"DPSSL (Thunderwall, 10 kJ x 1000+ beamlines, 10 Hz, 3w UV)",medium-high
32-laser-icf-oec-architecture,32,Laser ICF - OEC Architecture (D-T),Blue Laser Fusion,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Direct drive,D-T,Laser (direct drive),Hybrid (thermal + direct),N/A,Liquid metal,Pulsed,~10 Hz,"CBC fiber laser + OEC, 5 MJ UV",medium-high
33-laser-icf-french-national,33,Laser ICF - French National (D-T),GenF Systems,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Direct drive,D-T,Laser (direct drive),Thermal (unspecified),N/A,Liquid metal,Pulsed,~10 Hz,Diode-pumped solid-state laser (DPSSL),medium
34-state-backed-tokamak-best,34,State-Backed Tokamak - BEST (D-T),Neo Fusion,MFE,Tokamak,N/A,N/A,N/A,Standard,N/A,N/A,D-T,RF + NBI,Thermal (unspecified),LTS+HTS,TBD,Quasi-steady,N/A,"LTS+HTS magnets (Nb3Sn/YBCO, 6.15T) + multi-method H&CD (50 MW)",medium
35-polomac-magnetic-confinement,35,PoloMac Magnetic Confinement,Deutelio,MFE,Dipole,N/A,N/A,N/A,N/A,N/A,N/A,D-D,Unknown,Thermal (unspecified),Resistive,N/A,Steady-state,N/A,Internal dipole coil with magnetic tunnel supports,medium-low
36-helical-coil-stellarator,36,Helical Coil Stellarator (D-T),Helical Fusion,MFE,Stellarator,N/A,N/A,N/A,N/A,Helical coil,N/A,D-T,RF (ECRH),Thermal (sCO2),HTS (3D stellarator),Liquid metal,Steady-state,N/A,"Continuous helical HTS coils (REBCO WISE conductor, 8 T) + 250 GHz CW gyrotrons",high
37-magnetized-target-inertial-fusion-mtif,37,Magnetized Target Inertial Fusion - MTIF (D-D),NearStar Fusion,MIF,,,Magnetized target,,,,,D-D,Mechanical compression,Thermal (unspecified),None,TBD,Pulsed,Unknown,Plasma armature railgun (~10 km/s into magnetized D-D targets),medium
38-particle-accelerator-driven-fusion,38,Particle Accelerator-Driven Fusion (D-T),SHINE Technologies,Non-Standard,,,,Electrostatic,,,,D-T,Electrostatic acceleration,N/A,None,N/A (non-power),Steady-state,N/A,High-current particle accelerator (beam-on-target neutron source),medium-high
39-spherical-tokamak-cs-free-p-b11,39,Spherical Tokamak - CS-free p-B11 (p-B11),ENN Energy,MFE,Tokamak,,,,Spherical,,,p-B11,RF (ECRH),Direct (charged particle),HTS (wound),N/A (no tritium),Quasi-steady,N/A,CS-free spherical tokamak with ECRH non-inductive current drive (EXL-50U / EHL-2),medium
