concept_id,design_name,maturity_tier,grounding_confidence,p_native_mwe,primary_sources,selection_rationale,alternatives_considered,trace_path,proposal_model,verified_by,verified_date
12-levitated-dipole,OpenStar Reactor A — Simpson et al. 2026 (arXiv 2602.20564),proposed-commercial,high,208,knowledge/concept_research/12-levitated-dipole/iter-01/sources/arxiv-2602-20564-dt-dipole-power-plants.md; knowledge/concept_research/12-levitated-dipole/iter-01/sources/arxiv-2508-17691-junior-design-results.md,"Reactor A (208 MWe net) is the more conservative of the two design points published in Simpson et al. (2026): it requires lower confinement performance from the Tahi demonstration device (τ_e = 3.5 s, achievable with Bohm-like scaling from LDX) than Reactor B (τ_e = 5.9 s), ma...","OpenStar Reactor B — Simpson et al. 2026 (arXiv 2602.20564), 74.5 MWe; Tama Nui aspirational commercial target (50–200 MWe range, no engineering design point); Junior prototype (OpenStar, 2024–present)",exploration/concept_analysis/analyses/12-levitated-dipole/design-points/baseline.md,sonnet,,
13-electrostatic-hybrid,Orbitron commercial module — lower bound (Avalanche Energy product page / CWFest 2023),paper-concept,low,0.005,knowledge/concept_research/13-electrostatic-hybrid/iter-01/sources/avalanche-orbitron-page.md; knowledge/concept_research/13-electrostatic-hybrid/iter-01/sources/avalanche-cwfest2023-blog.md,"All three Avalanche hardware designs (Neo, Marty, FusionWERX device) are physics demonstrators or neutron production facilities with no electrical output by design and do not qualify as design points. The only published P_native figures come from the aspirational commercial pr...","Neo prototype; Marty prototype (Q≈1 DT physics target, 300 kV / 0.4 T); FusionWERX facility device (Q>1 DT test program, 2027); Orbitron commercial module — upper bound (100 kWe)",exploration/concept_analysis/analyses/13-electrostatic-hybrid/design-points/baseline.md,sonnet,,
14-magnetized-target-fusion-pneumatic-compression,"GF MTF Commercial Power Plant — Krotez et al. 2023 SOFE conceptual design (150 MWe per module, two-module architecture)",paper-concept,high,150,knowledge/concept_research/14-magnetized-target-fusion-pneumatic-compression/iter-04/sources/en-wiki-general-fusion/output.md; knowledge/concept_research/14-magnetized-target-fusion-pneumatic-compression/iter-02/sources/general-fusion-fst-2025-fuel-cycles.md,"The Krotez et al. 2023 SOFE conceptual design is the only GF design with a published electrical output: 300 MWe from two 150 MWe modules in tandem, as reported by Wikipedia citing that paper directly. The FST 2025 peer-reviewed paper (Flynn et al.) treats this as the design un...","LM26 (Lawson Machine 26); Fusion Demonstration Program (UK / Culham, 70% scale)",exploration/concept_analysis/analyses/14-magnetized-target-fusion-pneumatic-compression/design-points/baseline.md,sonnet,,
15-sheared-flow-stabilized-z-pinch,Zap Energy SFS Z-Pinch Commercial Power Plant Module (Thompson et al. FST 2023; Zap October 2024),paper-concept,medium,50,knowledge/concept_research/15-sheared-flow-stabilized-z-pinch/iter-01/sources/engineering-paradigms-paper-summary.md; knowledge/concept_research/15-sheared-flow-stabilized-z-pinch/iter-01/sources/century-demo-system.md,"Zap Energy publishes one commercial-scale design: a multi-module power plant whose natural unit is a single SFS Z-pinch core. The Engineering Paradigms paper (Thompson et al., FST 2023) establishes the module's thermal power (200 MWt), geometry (~3 m diameter, ~25 m³ core), fu...",FuZE / FuZE-Q / FuZE-3 devices (Zap Energy physics R&D platform); Century engineering test platform (October 2024); FuZE-A (upcoming physics device),exploration/concept_analysis/analyses/15-sheared-flow-stabilized-z-pinch/design-points/baseline.md,sonnet,,
17a-laser-icf-hybrid-drive,"Xcimer Athena pilot power plant (Galloway & Valys, XEC whitepaper Feb 2026)",pilot-demonstrator,medium,400,knowledge/concept_research/17a-laser-icf-hybrid-drive/iter-02/sources/xec-20260224-commercialization-of-lfe-whtppr-shared-24-feb.md; knowledge/concept_research/17a-laser-icf-hybrid-drive/iter-01/sources/xcimer-energy-approach.md,"Athena is the only Xcimer design with a named plant and a published electrical output. The February 2026 commercialization whitepaper explicitly defines Athena as ""the first operational laser-fusion pilot power plant, producing about 400 MW electric"" at 8 MJ on-target and just...","Phoenix (Xcimer Denver prototype, 1-2 kJ, Q2 2026); Anvil (Xcimer Denver demonstrator, 200 kJ, 2028); Vulcan (Xcimer high-yield facility, 4-12 MJ, 2031); HYLIFE-II (LLNL heritage, 940 MWe, heavy-ion driver, 6 Hz); Generic commercial Xcimer plants (aspirational range, hundreds of MWe to >1 GWe)",exploration/concept_analysis/analyses/17a-laser-icf-hybrid-drive/design-points/baseline.md,sonnet,,
17b-laser-icf-fast-ignition,Focused Energy gigawatt-scale commercial plant (Callahan 2024 interview),proposed-commercial,low,1000,knowledge/concept_research/17b-laser-icf-fast-ignition/iter-02/sources/focused-energy-callahan-interview.md; knowledge/concept_research/17b-laser-icf-fast-ignition/iter-01/sources/focused-energy-technology.md,"Focused Energy has not published a peer-reviewed plant design. The 1 GWe scale comes from Callahan's interview statement ('gigawatt-scale') and the company technology page, with no quantitative engineering parameters (R0, E_drive, G, eta_wp, capital breakdown) disclosed. The model_setup retains framework LASER_IFE defaults for all key inputs (eta_th=0.40 conventional Rankine, q_eng=4.0 framework default, availability=0.75 HYLIFE-II anchor); the petawatt ignition laser cost is acknowledged as NOT captured. Treat CAS22 as a lower bound on dual-driver capital.",Smaller pilot plant (no public Focused Energy pilot design exists); peer-reviewed fast-ignition plant design (none available - fast ignition has not demonstrated gain > 1 at any scale),exploration/concept_analysis/analyses/17b-laser-icf-fast-ignition/model_setup.py,sonnet,,
18-p-b11-frc,"Da Vinci 50 MWe pilot plant (TAE Technologies, December 2025 merger announcement)",paper-concept,low,50,knowledge/concept_research/18-p-b11-frc/iter-02/sources/tae-djt-merger-davinci-specs.md; knowledge/concept_research/18-p-b11-frc/iter-02/sources/tae-energy-conversion-clarification.md,"Da Vinci is the only TAE design with a published net electrical output figure. The December 2025 Trump Media / TAE merger announcement (ANS Nuclear Newswire) commits to ""construction on a 50-MWe utility-scale fusion power plant in 2026,"" making this the single selectable desig...","C-2W / Norman experimental device; Norm experimental device (modified C-2W); Copernicus (sixth-generation device, planned); Da Vinci at 350–500 MWe scaled commercial target",exploration/concept_analysis/analyses/18-p-b11-frc/design-points/baseline.md,sonnet,,
20a-type-one-stellarator,"Infinity Two fusion pilot power plant (Hegna et al. 2025, J. Plasma Phys. special issue)",proposed-commercial,high,350,knowledge/concept_research/20a-type-one-stellarator/iter-01/sources/typeoneenergy-type-one-energy-issues-first-realistic/output.md; knowledge/concept_research/20a-type-one-stellarator/iter-01/sources/cambridge-core-journals-journal-of-plasma-physics-article/output.md; knowledge/concept_research/20a-type-one-stellarator/iter-01/sources/cambridge-core-services-aop-cambridge-core-content-view/output.md,"Infinity Two is Type One Energy's only published commercial design and the only design in the portfolio with a stated P_native. The 350 MWe net figure is stated directly by the company press release and confirmed in the JPP overview paper (""nominal 350 MWe Infinity Two fusion ...",Infinity One (sub-scale validation stellarator),exploration/concept_analysis/analyses/20a-type-one-stellarator/design-points/baseline.md,sonnet,,
20b-renaissance-stellarator,"1 GWe economically optimized compact liquid-wall HTS stellarator (Samulski et al., Nuclear Fusion 64 (2024) 026007)",paper-concept,high,1000,knowledge/concept_research/20b-renaissance-stellarator/iter-01/sources/infoscience-bitstreams-7d2d7b2f-6f75-4ac2-93cb-6eef8a65df82/output.md; knowledge/concept_research/20b-renaissance-stellarator/dossier.md,"The only design in Renaissance Fusion's published portfolio with a stated net electrical output is the 1 GWe economically optimized machine from Nuclear Fusion 64 (2024) 026007. Its key parameters (R = 3.8 m, A = 4.1, B = 10.2 T, D-T fuel, 1 GWe net) are independently confirme...","6 T Helmholtz magnet demonstrator (MT29 Abstract, 2024); (no other commercial or pilot design candidates)",exploration/concept_analysis/analyses/20b-renaissance-stellarator/design-points/baseline.md,sonnet,,
21-spherical-tokamak-hts,"ST-E1 Revision D, technology-conservative case (Maartensson et al., DPP 2025)",paper-concept,medium,450,knowledge/concept_research/21-spherical-tokamak-hts/iter-03/sources/tokamak-energy-st-e1-dpp2025-abstract.md; knowledge/concept_research/21-spherical-tokamak-hts/iter-02/sources/tokamak-energy-st-e1-design-evolution.md; knowledge/concept_research/21-spherical-tokamak-hts/iter-03/sources/tokamak-energy-ec-heating-pilot-plant.md,"ST-E1 Revision D is Tokamak Energy's final pre-conceptual design point, documented at APS DPP 2025 (Maartensson et al.), with published geometry (R=5.0m, A=2.3, B=5.25T on-axis), fuel (D-T), and blanket (outboard liquid lithium, TBR=1.2). The published net power range is 450–7...","ST-E1 Revision D, technology-optimistic case (750 MWe); ST-E1 early design, DPP 2024 iteration (A=2.0, R=4.25m, ~85 MWe); ST-E1 2022 aspirational target (up to 200 MWe); ST80-HTS bridging demonstrator",exploration/concept_analysis/analyses/21-spherical-tokamak-hts/design-points/baseline.md,sonnet,,
22-projectile-icf,First Light projectile pilot plant (2022 pre-pivot ~150 MWe target),paper-concept,low,150,knowledge/concept_research/22-projectile-icf/iter-03/sources/prnewswire-news-releases-first-light-achieves-world-first.md; knowledge/concept_research/22-projectile-icf/iter-01/sources/first-light-fusion-technology.md,"First Light's pre-pivot projectile pilot plant — ~150 MWe, <$1B, 2030s, with a 30-second shot cadence and the Machine 3 hyper-velocity gas gun (6.5 km/s, target amplification to >70 km/s) as driver basis — is the only design point in any primary source that attaches an electri...","First Light 500 MWe commercial plant (pre-pivot long-term target); First Light FLARE 333 MWe design point (post-pivot, TBR-1.8 context); First Light FLARE 400 MWe reactor (post-pivot commercial target); NearStar MTIF railgun plant",exploration/concept_analysis/analyses/22-projectile-icf/design-points/baseline.md,sonnet,,
23-laser-icf-nanostructured-target,"Marvel Fusion CFE-NANO Pilot Plant (EU Horizon EIC Project 101189082, 100 MWe, 2033 milestone)",paper-concept,medium,100,knowledge/concept_research/23-laser-icf-nanostructured-target/iter-02/sources/marvel-fusion-2025-updates.md; knowledge/concept_research/23-laser-icf-nanostructured-target/iter-03/sources/optics-news-16-4-4/output.md; knowledge/concept_research/23-laser-icf-nanostructured-target/iter-03/sources/optics-news-15-10-4/output.md,"Marvel Fusion's 100 MWe pilot plant, the central milestone of EU Horizon EIC project CFE-NANO (Project ID 101189082), is the only design in this concept's portfolio with a published P_native traceable to a formal program document. The CORDIS project record explicitly states ""p...","Marvel Fusion commercial plant (~500 laser systems); HB11 Energy ~1 GW baseload plant (data centre architecture); HB11 Energy single-shot physics demonstrators (Texas Petawatt, NIF)",exploration/concept_analysis/analyses/23-laser-icf-nanostructured-target/design-points/baseline.md,sonnet,,
24-dense-plasma-focus,Focus Fusion commercial generator (Lerner et al. 2023),paper-concept,low,5.0,knowledge/concept_research/24-dense-plasma-focus/iter-01/sources/lerner-2023-jfe-paper.md; knowledge/concept_research/24-dense-plasma-focus/iter-02/sources/lppfusion-investing-in-lppfusion-our-plan-to-net-energy/output.md,"The Focus Fusion commercial generator is the only LPPFusion design with a stated net electrical output: ~25 kJ net electrical per pulse at ~200 Hz repetition, yielding 5 MW. Both figures are computed in the Lerner 2023 JFE paper from first-principles cooling limits and energy ...",FF-2B experimental device; Phase 1 net-energy demonstrator,exploration/concept_analysis/analyses/24-dense-plasma-focus/design-points/baseline.md,sonnet,,
25-heavy-ion-beam-icf,"HYLIFE-II baseline single-chamber design (LLNL, OSTI 7021072)",proposed-commercial,high,940,knowledge/concept_research/25-heavy-ion-beam-icf/iter-01/sources/hif-technology-overview.md; knowledge/concept_research/25-heavy-ion-beam-icf/iter-02/sources/hif-recent-research-compilation.md,"HYLIFE-II is the most completely documented HIF power plant design in the public literature, with published engineering parameters (5 MJ driver, FLiBe blanket, 6 Hz rep rate), a direct cost estimate for the accelerator driver ($570M), and an LCOE estimate of 6.5 c/kWh (early-1...","HIBALL plant (KfK-3202, 1985) — 3.8 GWe multi-chamber total; HYLIFE-II multi-chamber scaling study (OSTI 10170594) — ~1,934 MWe plant total",exploration/concept_analysis/analyses/25-heavy-ion-beam-icf/design-points/baseline.md,sonnet,,
26-laser-icf-indirect-drive,Inertia Enterprises utility-scale commercial power plant (Thunderwall DPSSL + NIF Hybrid-E indirect drive),paper-concept,low,1500,knowledge/concept_research/26-laser-icf-indirect-drive/iter-01/sources/inertia-enterprises-website-and-faq.md; knowledge/concept_research/26-laser-icf-indirect-drive/iter-02/sources/inertia-enterprises-2026-update.md,"Inertia's 1,500 MWe commercial plant is the only candidate with P_native explicitly stated in an ingested primary source (""1.5GW, Powers a city of one million people"" on the Inertia homepage; confirmed as ""gigawatt, utility-scale fusion power plant"" in the Series A announcemen...","Xcimer Energy ASPEN 'Athena' pilot plant (~400 MWe); Xcimer Energy commercial design (hundreds of MWe to >1 GWe range); LLNL LIFE (Laser Inertial Fusion Energy, ~1,000 MWe, canceled 2013)",exploration/concept_analysis/analyses/26-laser-icf-indirect-drive/design-points/baseline.md,sonnet,,
27-polywell,Polywell commercial scale derived from Park et al. 2025 physics scaling (~290 MWe net),paper-concept,low,290,knowledge/concept_research/27-polywell/iter-02/sources/polywell-revisited-2025-park.md; knowledge/concept_research/27-polywell/iter-02/sources/emc2-fpns-talk-polywell-2023.md,"EMC2 has not published an engineering plant design. The 290 MWe scale is analyst-derived in analysis Section 5 from Park et al. 2025 theoretical physics scaling: ~388 MWe gross thermal conversion minus 97.5 MW e-beam wall-plug, with the analyst noting +/-60 percent uncertainty due to gamma=0.1 assumption. No canonical CAS22 geometry (R0, plasma_t, b_center) is published; spec dict is empty and the model relies entirely on library POLYWELL defaults. Park 2025 provides theoretical physics but no engineering design — this is a physics-grounded but engineering-thin case appropriate for low confidence.","EMC2 WB-8 demonstration device (sub-kW physics testbed only, not a power plant); Lyman Spitzer-era Polywell variants (none with quantitative LCOE-relevant parameters)",exploration/concept_analysis/analyses/27-polywell/model_setup.py,sonnet,,
29-negative-triangularity-tokamak,MANTA NT Fusion Pilot Plant (Rutherford et al. 2024),paper-concept,high,90,knowledge/concept_research/29-negative-triangularity-tokamak/iter-02/sources/manta-reference-design.md; knowledge/concept_research/29-negative-triangularity-tokamak/iter-01/sources/greyb-firefly-interview.md,"MANTA (Rutherford et al. 2024) is selected as the NT-tokamak design point because it is the only NT plant in the corpus with a fully self-consistent, internally complete published design: Pe,net = 90 MWe (computed via integrated balance-of-plant modeling), Pfus = 450 MW, R0=4....","Firefly Fusion commercial NT tokamak (R=2–2.5 m, 50–100 MW Pfus band); LUCIOLE prototype (Firefly near-term demonstrator); Balestri / Ball / Coda 2024 ohmic-only NT feasibility scenario; Guizzo et al. 2025 NT controllability test stand (R0=1 m, B=3 T); ARIES-ACT (Kessel et al. 2014)",exploration/concept_analysis/analyses/29-negative-triangularity-tokamak/design-points/baseline.md,sonnet,,
30-laser-icf-nif-commercialization,"Inertia Enterprises commercial plant (1,000-beamline Thunderwall, 1.5 GWe stated)",paper-concept,low,1500,knowledge/concept_research/30-laser-icf-nif-commercialization/iter-01/sources/enr-mike-dunne-interview.md; knowledge/concept_research/30-laser-icf-nif-commercialization/iter-01/sources/inertia-website-technical.md; knowledge/concept_research/30-laser-icf-nif-commercialization/iter-01/sources/globenewswire-series-a-press-release.md,"The commercial 1.5 GW plant is selected over the 50 MWe pilot because the pilot is explicitly a DOE regulatory milestone, not a self-consistent commercial design: the ENR interview frames it as a requirement before scaling to commercial scale, and Q_target = 18× at full Thunde...","Inertia pilot plant (50 MWe DOE demonstration); Single 1,000-beamline module at Q_target = 30× (energy-balance derived, ~450–500 MWe); LLNL LIFE commercial plant (~900 MWe, Anklam 2011)",exploration/concept_analysis/analyses/30-laser-icf-nif-commercialization/design-points/baseline.md,sonnet,,
31-laser-icf-oec-architecture,"BLF OEC Reactor, 10 Hz design point (Sunahara et al., 2025)",paper-concept,medium,2820,knowledge/concept_research/31-laser-icf-oec-architecture/iter-01/sources/optics-express-2025-paper.md; knowledge/concept_research/31-laser-icf-oec-architecture/iter-01/sources/blf-website-and-news.md,The BLF portfolio contains a single published reactor concept: a 500-module CBC-OEC direct-drive shock ignition plant described in Sunahara et al. (2025). The design spans a 1–10 Hz repetition-rate range with P_grid ranging from 102 MWe to 2820 MWe for the same physical hardwa...,"BLF OEC Reactor, 1 Hz operating point (Sunahara et al., 2025); BLF '~1 GWe commercial plant' (BLF website)",exploration/concept_analysis/analyses/31-laser-icf-oec-architecture/design-points/baseline.md,sonnet,,
32-laser-icf-french-national,"GenF TARANIS commercial reactor, 2050 target (GenF website / Ribeyre et al. 2025)",paper-concept,low,1000,knowledge/concept_research/32-laser-icf-french-national/iter-01/sources/genf-website-technology.md; knowledge/concept_research/32-laser-icf-french-national/iter-01/sources/aip-advances-ribeyre-2025.md,"The GenF 2050 commercial plant is the only design in the portfolio with a stated P_native: the technology page commits to ""1GW of power"" for a single-chamber commercial reactor entering service in the 2050s, and Ribeyre et al. (2025), co-authored by GenF employees, explicitly ...","TARANIS demonstrator, 2040 (first-megawatts unit)",exploration/concept_analysis/analyses/32-laser-icf-french-national/design-points/baseline.md,sonnet,,
