concept_id,confinementconcept_enum,fuel_enum,fit_grade,fit_rationale,costingfe_commit
13-electrostatic-hybrid,ORBITRON,DT,Med,"ENUM matches the rotating-electrode electrostatic concept family. Orbitron's specific drive architecture isn't captured beyond generic markup coefficients but the cost structure stands. Rank-2 split → Med: ENUM exists for the family; specific drive details unmodeled but framework cost rollup applies.",4ca4d49
14-magnetized-target-fusion-pneumatic-compression,MAG_TARGET,DT,Med,"MAG_TARGET catch-all hosts MIF approaches by design; pneumatic-piston driver + liquid-metal vortex chamber are within the catch-all's intended scope. Rank-2 split → Med: catch-all ENUM is generic by design; deviations are absorbed.",4ca4d49
15-sheared-flow-stabilized-z-pinch,STAGED_ZPINCH,DT,High,"costingfe YAML explicitly calibrated against Zap-style SFSZP; Zap Energy is the reference design (gas-injection, 1 Hz rep rate, stabilization coils, compact linear geometry).",4ca4d49
16-muon-catalyzed-fusion,,DT,None,Accelerator + muon-production economics has no analog in any ENUM; truly bespoke residual.,4ca4d49
17a-laser-icf-hybrid-drive,LASER_IFE,DT,Low,"Laser IFE fits broadly but KrF excimer (vs DPSSL default) + two-beam hybrid direct drive + FLiBe thick-liquid-wall chamber are three compounding deviations from the ENUM's DPSSL/indirect-drive/dry-wall reference design. Rank-2 split → Low.",4ca4d49
17b-laser-icf-fast-ignition,LASER_IFE,DT,Med,"Laser IFE fits but fast ignition uses separate compression + ignition lasers and the ENUM treats both as one driver. Rank-2 split → Med: single architectural deviation in the driver model; chamber/target/blanket/thermal accounts unaffected.",4ca4d49
18-p-b11-frc,MIRROR,PB11,Low,"TAE's linear geometry, steady-state NBI sustainment, and end-cell DEC are mirror-like; however the FRC closed-field-line core (with its formation/sustainment hardware) sits inside the mirror trap with no direct analog, and PB11 fuel breaks DT defaults. Rank-2 split → Low: PB11 + FRC core inside mirror is compound.",4ca4d49
19-orbital-levitated-dipole,DIPOLE,DT,Low,"Dipole magnetic topology fits the ENUM but the orbital deployment context introduces structural and launch-cost factors that have no terrestrial-plant analog in the cost rollup. Rank-2 split → Low: launch costs are an entirely new cost category outside the framework.",4ca4d49
20a-type-one-stellarator,STELLARATOR,DT,High,Direct stellarator + DT.,4ca4d49
20b-renaissance-stellarator,STELLARATOR,DT,High,Direct stellarator + DT.,4ca4d49
21-spherical-tokamak-hts,TOKAMAK,DT,High,Spherical aspect ratio is accommodated within the TOKAMAK ENUM via geometric parameters.,4ca4d49
22-projectile-icf,HEAVY_ION,DT,Low,"The IFE driver→target→chamber→blanket→thermal workflow that HEAVY_ION provides fits FLF abstractly but the EM/projectile launcher is structurally different hardware from a heavy-ion accelerator and the per-MW driver cost constant would need full recalibration; the amplifier target architecture also has no analog. Rank-2 split → Low: driver hardware fundamentally different.",4ca4d49
23-laser-icf-nanostructured-target,LASER_IFE,PB11,Low,"Laser IFE fits with INDUCTIVE_DEC pulsed_conversion mode but PB11 fuel breaks DT blanket defaults and the nanostructured target is not captured. Rank-2 split → Low: PB11 is structural.",4ca4d49
24-dense-plasma-focus,DENSE_PLASMA_FOCUS,PB11,Low,"ENUM exists for the DPF architecture but with only partial cost-coefficient wiring; PB11 + beam-extracted direct conversion add further deviation. Rank-2 split → Low: partial calibration + PB11 + non-thermal conversion are compounding.",4ca4d49
25-heavy-ion-beam-icf,HEAVY_ION,DT,High,Heavy-ion-beam IFE is the dedicated ENUM case.,4ca4d49
26-laser-icf-indirect-drive,LASER_IFE,DT,High,Textbook DPSSL laser IFE with indirect drive — the LASER_IFE ENUM's calibration case.,4ca4d49
27-polywell,POLYWELL,PB11,Med,"ENUM covers the polyhedral magnetic-well IEC topology and is family-calibrated for aneutronic IEC; specific cost drivers (high-voltage feedthrough, electron injection) are not represented in defaults. Rank-2 split → Med: this is an exception to the otherwise-Low PB11 heuristic because the POLYWELL ENUM is itself the family-aneutronic case; cost structure stands.",4ca4d49
28-hts-tokamak-full-hts,TOKAMAK,DT,High,Tokamak + DT with full HTS magnet system; geometry and magnet stack within ENUM scope.,4ca4d49
29-negative-triangularity-tokamak,TOKAMAK,DT,High,Tokamak geometric variant; ENUM accommodates triangularity as a parameter.,4ca4d49
30-laser-icf-nif-commercialization,LASER_IFE,DT,High,"Textbook DPSSL laser IFE; the LIFE-class architecture the ENUM was largely calibrated against.",4ca4d49
31-laser-icf-oec-architecture,LASER_IFE,DT,Low,"Laser IFE fits broadly but the Optical Energy Collection architecture makes mirror cost the dominant driver, not laser — the ENUM's cost-share assumptions are inverted. Rank-2 split → Low: cost-share inversion means the ENUM's coefficients are in the wrong order of magnitude for the dominant account.",4ca4d49
32-laser-icf-french-national,LASER_IFE,DT,High,DPSSL shock-ignition direct drive falls within the LASER_IFE ENUM's scope.,4ca4d49
33-state-backed-tokamak-best,TOKAMAK,DT,High,Conventional ARIES-class tokamak — ENUM reference territory.,4ca4d49
35-polomac-magnetic-confinement,,DT,None,Novel multipole magnetic geometry has no analog in any ENUM; truly bespoke residual.,4ca4d49
36-helical-coil-stellarator,STELLARATOR,DT,High,Direct stellarator + DT.,4ca4d49
37-magnetized-target-inertial-fusion-mtif,MAG_TARGET,DD,Med,"MAG_TARGET catch-all hosts MIF approaches by design; the specific compression architecture and DD fuel aren't directly calibrated but are within the catch-all's scope. Rank-2 split → Med: catch-all by design.",4ca4d49
38-particle-accelerator-driven-fusion,,DT,None,"Spallation-neutron-driven sub-critical assembly has no analog; HEAVY_ION ENUM is for IFE compression which is structurally different. Truly bespoke residual.",4ca4d49
39-spherical-tokamak-cs-free-p-b11,TOKAMAK,PB11,Low,"Tokamak geometry fits but CS-free operation + PB11 fuel + planned DEC channel each deviate from the TOKAMAK ENUM's DT/Ohmic/thermal calibration. Rank-2 split → Low: PB11 + multiple architectural deviations.",4ca4d49
